id,vid,vendor,pid,device,type,net,screen,height,width,driver,image,,,,,
d-03f0-0714,v-03f0,Hewlett-Packard,p-0714,Printing Support,,,,,,,,,,,,
d-03f0-0801,v-03f0,Hewlett-Packard,p-0801,ScanJet 7400c,,,,,,,,,,,,
d-03f0-0804,v-03f0,Hewlett-Packard,p-0804,DeskJet 816c,,,,,,,,,,,,
d-03f0-0805,v-03f0,Hewlett-Packard,p-0805,HP4470C,,,,,,,,,,,,
d-03f0-0811,v-03f0,Hewlett-Packard,p-0811,OfficeJet K80xi,,,,,,,,,,,,
d-03f0-0817,v-03f0,Hewlett-Packard,p-0817,LaserJet 3300,,,,,,,,,,,,
d-03f0-0901,v-03f0,Hewlett-Packard,p-0901,ScanJet 2300c,,,,,,,,,,,,
d-03f0-0904,v-03f0,Hewlett-Packard,p-0904,DeskJet 845c,,,,,,,,,,,,
d-03f0-0912,v-03f0,Hewlett-Packard,p-0912,Printing Support,,,,,,,,,,,,
d-03f0-0917,v-03f0,Hewlett-Packard,p-0917,LaserJet 3330,,,,,,,,,,,,
d-03f0-0924,v-03f0,Hewlett-Packard,p-0924,Modular Smartcard Keyboard,,,,,,,,,,,,
d-03f0-0a01,v-03f0,Hewlett-Packard,p-0a01,ScanJet 2400c,,,,,,,,,,,,
d-03f0-0a17,v-03f0,Hewlett-Packard,p-0a17,color LaserJet 3700,,,,,,,,,,,,
d-03f0-0b01,v-03f0,Hewlett-Packard,p-0b01,ScanJet 82x0C,,,,,,,,,,,,
d-03f0-0b0c,v-03f0,Hewlett-Packard,p-0b0c,Wireless Keyboard and Optical Mouse receiver,,,,,,,,,,,,
d-03f0-0b17,v-03f0,Hewlett-Packard,p-0b17,LaserJet 2300d,,,,,,,,,,,,
d-03f0-0c17,v-03f0,Hewlett-Packard,p-0c17,LaserJet 1010,,,,,,,,,,,,
d-03f0-0c24,v-03f0,Hewlett-Packard,p-0c24,Bluetooth Dongle,,,,,,,,,,,,
d-03f0-0d12,v-03f0,Hewlett-Packard,p-0d12,OfficeJet 9100 series,,,,,,,,,,,,
d-03f0-0d17,v-03f0,Hewlett-Packard,p-0d17,LaserJet 1012,,,,,,,,,,,,
d-03f0-0e17,v-03f0,Hewlett-Packard,p-0e17,LaserJet 1015,,,,,,,,,,,,
d-03f0-0f0c,v-03f0,Hewlett-Packard,p-0f0c,Wireless Keyboard and Optical Mouse receiver,,,,,,,,,,,,
d-03f0-0f11,v-03f0,Hewlett-Packard,p-0f11,OfficeJet V40,,,,,,,,,,,,
d-03f0-0f12,v-03f0,Hewlett-Packard,p-0f12,Printing Support,,,,,,,,,,,,
d-03f0-0f17,v-03f0,Hewlett-Packard,p-0f17,LaserJet 1150,,,,,,,,,,,,
d-03f0-1001,v-03f0,Hewlett-Packard,p-1001,Photo Scanner 1000,,,,,,,,,,,,
d-03f0-1002,v-03f0,Hewlett-Packard,p-1002,PhotoSmart 140 series,,,,,,,,,,,,
d-03f0-1004,v-03f0,Hewlett-Packard,p-1004,DeskJet 970c/970cse,,,,,,,,,,,,
d-03f0-1005,v-03f0,Hewlett-Packard,p-1005,ScanJet 5400c,,,,,,,,,,,,
d-03f0-1011,v-03f0,Hewlett-Packard,p-1011,OfficeJet V40xi,,,,,,,,,,,,
d-03f0-1016,v-03f0,Hewlett-Packard,p-1016,Jornada 548 / iPAQ HW6515 Pocket PC,,,,,,,,,,,,
d-03f0-1017,v-03f0,Hewlett-Packard,p-1017,LaserJet 1300,,,,,,,,,,,,
d-03f0-1024,v-03f0,Hewlett-Packard,p-1024,Smart Card Keyboard,,,,,,,,,,,,
d-03f0-1027,v-03f0,Hewlett-Packard,p-1027,Virtual keyboard and mouse,,,,,,,,,,,,
d-03f0-1102,v-03f0,Hewlett-Packard,p-1102,PhotoSmart 240 series,,,,,,,,,,,,
d-03f0-1104,v-03f0,Hewlett-Packard,p-1104,DeskJet 959c,,,,,,,,,,,,
d-03f0-1105,v-03f0,Hewlett-Packard,p-1105,ScanJet 5470c/5490c,,,,,,,,,,,,
d-03f0-1111,v-03f0,Hewlett-Packard,p-1111,OfficeJet v60,,,,,,,,,,,,
d-03f0-1116,v-03f0,Hewlett-Packard,p-1116,Jornada 568 Pocket PC,,,,,,,,,,,,
d-03f0-1117,v-03f0,Hewlett-Packard,p-1117,LaserJet 1300n,,,,,,,,,,,,
d-03f0-1151,v-03f0,Hewlett-Packard,p-1151,PSC-750xi Printer/Scanner/Copier,,,,,,,,,,,,
d-03f0-1202,v-03f0,Hewlett-Packard,p-1202,PhotoSmart 320 series,,,,,,,,,,,,
d-03f0-1204,v-03f0,Hewlett-Packard,p-1204,DeskJet 930c,,,,,,,,,,,,
d-03f0-1205,v-03f0,Hewlett-Packard,p-1205,ScanJet 4500C/5550C,,,,,,,,,,,,
d-03f0-1211,v-03f0,Hewlett-Packard,p-1211,OfficeJet v60xi,,,,,,,,,,,,
d-03f0-1217,v-03f0,Hewlett-Packard,p-1217,LaserJet 2300L,,,,,,,,,,,,
d-03f0-1302,v-03f0,Hewlett-Packard,p-1302,PhotoSmart 370 series,,,,,,,,,,,,
d-03f0-1305,v-03f0,Hewlett-Packard,p-1305,ScanJet 4570c,,,,,,,,,,,,
d-03f0-1311,v-03f0,Hewlett-Packard,p-1311,OfficeJet V30,,,,,,,,,,,,
d-03f0-1312,v-03f0,Hewlett-Packard,p-1312,DeskJet 460,,,,,,,,,,,,
d-03f0-1317,v-03f0,Hewlett-Packard,p-1317,LaserJet 1005,,,,,,,,,,,,
d-03f0-1405,v-03f0,Hewlett-Packard,p-1405,ScanJet 3670,,,,,,,,,,,,
d-03f0-1411,v-03f0,Hewlett-Packard,p-1411,PSC 750,,,,,,,,,,,,
d-03f0-1424,v-03f0,Hewlett-Packard,p-1424,f2105 Monitor Hub,,,,,,,,,,,,
d-03f0-1502,v-03f0,Hewlett-Packard,p-1502,PhotoSmart 420 series,,,,,,,,,,,,
d-03f0-1504,v-03f0,Hewlett-Packard,p-1504,DeskJet 920c,,,,,,,,,,,,
d-03f0-150c,v-03f0,Hewlett-Packard,p-150c,Mood Lighting (Microchip Technology Inc.),,,,,,,,,,,,
d-03f0-1511,v-03f0,Hewlett-Packard,p-1511,PSC 750xi,,,,,,,,,,,,
d-03f0-1512,v-03f0,Hewlett-Packard,p-1512,Printing Support,,,,,,,,,,,,
d-03f0-1517,v-03f0,Hewlett-Packard,p-1517,color LaserJet 3500,,,,,,,,,,,,
d-03f0-1524,v-03f0,Hewlett-Packard,p-1524,Smart Card Keyboard - KR,,,,,,,,,,,,
d-03f0-1602,v-03f0,Hewlett-Packard,p-1602,PhotoSmart 330 series,,,,,,,,,,,,
d-03f0-1604,v-03f0,Hewlett-Packard,p-1604,DeskJet 940c,,,,,,,,,,,,
d-03f0-1605,v-03f0,Hewlett-Packard,p-1605,ScanJet 5530C PhotoSmart,,,,,,,,,,,,
d-03f0-1611,v-03f0,Hewlett-Packard,p-1611,psc 780,,,,,,,,,,,,
d-03f0-1617,v-03f0,Hewlett-Packard,p-1617,LaserJet 3015,,,,,,,,,,,,
d-03f0-161d,v-03f0,Hewlett-Packard,p-161d,Wireless Rechargeable Optical Mouse (HID),,,,,,,,,,,,
d-03f0-1624,v-03f0,Hewlett-Packard,p-1624,Smart Card Keyboard - JP,,,,,,,,,,,,
d-03f0-1702,v-03f0,Hewlett-Packard,p-1702,PhotoSmart 380 series,,,,,,,,,,,,
d-03f0-1704,v-03f0,Hewlett-Packard,p-1704,DeskJet 948C,,,,,,,,,,,,
d-03f0-1705,v-03f0,Hewlett-Packard,p-1705,ScanJet 5590,,,,,,,,,,,,
d-03f0-1711,v-03f0,Hewlett-Packard,p-1711,psc 780xi,,,,,,,,,,,,
d-03f0-1712,v-03f0,Hewlett-Packard,p-1712,Printing Support,,,,,,,,,,,,
d-03f0-1717,v-03f0,Hewlett-Packard,p-1717,LaserJet 3020,,,,,,,,,,,,
d-03f0-171d,v-03f0,Hewlett-Packard,p-171d,Wireless (Bluetooth + WLAN) Interface [Integrated Module],,,,,,,,,,,,
